ID;Buts;PD;B+PD;B-PénM;PénM;PénT;CJ;CR;ID équipe;equipe
510;1;0;1;1;0;0;2;0;10;Montpellier
511;2;1;3;2;0;0;3;0;10;Montpellier
512;1;0;1;1;0;0;1;0;10;Montpellier
513;3;1;4;3;0;0;7;0;7;Lyon
514;0;0;0;0;0;0;1;0;13;Paris S-G
515;1;4;5;1;0;0;0;0;16;Saint-Étienne
516;0;0;0;0;0;0;0;0;4;Le Havre
517;0;0;0;0;0;0;3;0;10;Montpellier
518;0;1;1;0;0;0;0;0;13;Paris S-G
519;1;0;1;1;0;0;3;0;7;Lyon
520;1;0;1;0;1;1;1;0;14;Reims
521;1;0;1;1;0;0;2;1;9;Monaco
522;1;3;4;1;0;0;2;0;11;Nantes
523;2;7;9;2;0;0;7;0;5;Lens
524;7;4;11;7;0;0;4;0;7;Lyon
525;8;1;9;2;6;7;5;0;4;Le Havre
526;0;0;0;0;0;0;2;0;10;Montpellier
527;0;0;0;0;0;0;0;0;6;Lille
528;2;2;4;2;0;0;3;0;15;Rennes
529;1;3;4;1;0;0;6;1;9;Monaco
530;0;0;0;0;0;0;1;0;8;Marseille
531;2;0;2;2;0;0;3;0;7;Lyon
532;0;0;0;0;0;0;0;0;2;Auxerre
533;5;1;6;3;2;2;1;0;13;Paris S-G
534;0;0;0;0;0;0;0;0;16;Saint-Étienne
535;3;1;4;2;1;1;1;0;8;Marseille
536;0;1;1;0;0;0;1;0;17;Strasbourg
537;0;0;0;0;0;0;6;1;15;Rennes
538;0;0;0;0;0;0;4;1;4;Le Havre
539;0;0;0;0;0;0;0;1;14;Reims
540;0;0;0;0;0;0;0;0;13;Paris S-G
541;0;0;0;0;0;0;0;0;7;Lyon
542;1;2;3;1;0;0;3;0;13;Paris S-G
543;0;0;0;0;0;0;2;0;18;Toulouse
544;6;4;10;4;2;2;5;0;9;Monaco
545;1;2;3;1;0;0;3;1;5;Lens
546;0;0;0;0;0;0;6;0;11;Nantes
547;4;1;5;4;0;0;1;0;6;Lille
548;0;0;0;0;0;0;2;0;3;Brest
549;0;0;0;0;0;0;0;0;2;Auxerre
550;0;2;2;0;0;0;3;0;4;Le Havre
551;0;0;0;0;0;0;0;0;2;Auxerre
